customer_id,age,tenure_years,account_balance,credit_score,num_products,is_active,estimated_salary,complaints,support_tickets,mobile_logins_30d,overdraft_count_12m,churn
CUST00001,44,6,2592.25,589,1,0,45233.94,0,2,7,2,0
CUST00002,28,3,30005.21,672,3,0,60194.45,1,1,18,0,0
CUST00003,49,1,14523.72,599,1,1,49620.98,0,0,13,1,0
CUST00004,51,4,7639.61,599,2,1,37559.02,1,1,11,1,0
CUST00005,18,2,32214.49,787,2,1,66710.05,1,1,11,1,0
CUST00006,24,6,7001.16,523,1,1,32482.47,0,2,8,0,0
CUST00007,42,8,9719.44,694,2,1,47551.8,0,2,13,0,0
CUST00008,36,6,19804.57,806,1,0,47841.16,1,1,11,0,0
CUST00009,40,6,5795.27,712,2,0,24964.29,0,2,11,1,0
CUST00010,30,0,12306.58,530,2,1,69486.38,0,1,13,0,0
CUST00011,51,7,30237.95,535,3,0,49976.56,0,1,13,1,0
CUST00012,49,4,15651.67,582,2,0,83574.55,0,1,11,1,0
CUST00013,41,1,34049.47,664,3,1,49617.63,0,3,17,2,0
CUST00014,54,2,31263.35,670,1,0,46054.91,1,0,12,4,1
CUST00015,46,8,13437.49,536,1,1,35097.86,0,1,10,0,1
CUST00016,30,10,2315.65,571,2,0,55858.64,0,2,14,1,0
CUST00017,44,5,5829.41,577,4,1,55982.92,0,0,11,1,0
CUST00018,28,10,23682.71,634,1,1,71318.87,1,1,19,0,0
CUST00019,51,1,4176.84,829,1,1,56474.42,1,1,11,0,0
CUST00020,39,3,10456.52,566,3,0,101066.19,0,2,13,0,0
CUST00021,38,10,17220.58,562,3,0,65036.78,0,2,11,0,1
CUST00022,32,1,40222.35,548,1,0,33289.59,1,1,13,1,0
CUST00023,55,7,8679.64,707,2,0,31427.52,0,0,15,2,0
CUST00024,38,2,8245.18,646,2,1,66765.54,0,0,8,1,0
CUST00025,35,3,12844.43,569,2,0,32596.78,0,2,7,0,0
CUST00026,36,5,17381.9,617,2,0,68086.58,2,1,10,0,1
CUST00027,46,3,11900.25,579,4,0,74704.06,0,0,14,1,1
CUST00028,44,9,29347.17,677,1,1,75234.33,0,2,8,0,0
CUST00029,45,10,7336.68,850,2,1,35877.88,0,0,19,0,0
CUST00030,45,5,14619.63,700,1,1,75272.37,0,0,9,0,0
CUST00031,66,5,18655.75,642,2,1,62096.96,0,1,8,0,1
CUST00032,35,0,9895.4,590,2,1,41626.84,0,0,13,0,0
CUST00033,34,2,25078.91,529,2,0,51493.17,1,4,10,1,0
CUST00034,30,0,14938.83,716,3,1,65368.15,1,0,12,3,0
CUST00035,47,9,24140.21,711,2,1,40197.28,2,1,9,0,0
CUST00036,54,2,15453.3,608,2,1,61640.91,0,1,16,2,1
CUST00037,39,3,17717.42,759,1,0,86803.24,1,2,12,0,0
CUST00038,30,9,8314.08,652,4,1,76209.23,0,0,13,2,0
CUST00039,30,7,8324.19,720,2,1,56803.7,0,1,18,0,0
CUST00040,48,6,33466.4,677,2,0,60151.14,1,0,6,1,0
CUST00041,49,0,21517.74,634,2,1,43162.62,0,0,4,1,0
CUST00042,47,6,6202.92,564,2,0,43782.28,0,0,11,1,0
CUST00043,32,6,15300.6,637,2,0,21181.68,0,0,12,2,0
CUST00044,43,3,2252.21,726,1,0,60524.41,0,0,17,2,0
CUST00045,41,8,8686.67,604,1,1,70014.97,0,0,13,2,0
